bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prfd_attr_cd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm
MSCI ACWI CR 25% + Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 75%,MSCI ACWI CR 25% + Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 75%,KRW,Y,000,글로벌,,,,,2811344521.0000,10,,,,,,0,0010170C5312,0,배당,하나행복한TDF2025증권자[채혼-재간]C-P2E,,HANA HAPPY TDF 2025 FEEDER INVESTMENT TRUST [BOND BALANCED-FOF] CLASS C-P2E,하나 행복한 TDF 2025증권자투자신탁[채권혼합-재간접형] 종류 C-P2E,KR5159490019,16133A12060022111ZZD,KRZ501925585,003G253,0,재간접,00040005,국내외혼합,해당없음,00,W101,해당없음,공모,03210003G253,판매완료,K55102CR1622,Y,00020088,NULL,
KOSPI 200,KOSPI200,KRW,,000,국내,257.48,0.83,40.51,91.58,6008764603.0000,10,8.64,181.27,226.81,245.95,186.91,0,0010172C7331,0,배당,브이아이코리아통일르네상스자투자(주식)Ae,,브이아이코리아통일르네상스증권자투자신탁[주식] 종류A-E,브이아이코리아통일르네상스증권자투자신탁[주식] 종류A-E,KR5116450065,12113612001011111112,KRZ501890312,00AG530,0,주식형,00040018,국내,해당없음,00,V101,해당없음,공모,0304200AG530,판매중,KR5104AR5088,Y,00020032,1,매우 높은 위험
BSE 30,인도 Bombay Sensitive30,KRW,N,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래인디아대형주1CI,,MIRAE ASSET INDIA LARGE CAP VALUE EQUITY INVESTMENT TRUST NO.1 CLASS-C-I,미래에셋 인디아 대형주 Value 주식형 투자신탁1호 CLASS-C-I,KR510902206M,00000000000000000000,KRZ500403994,532364,0,주식형,00080008,해외,법인,00,C103,해당없음,공모,031910532360,판매완료,KR5301744995,Y,00020088,NULL,
MSCI NORTH AMERICA,MSCI NORTH AMERICA,KRW,Y,410,남미/북미,19.79,1.22,12.00,10.47,18098853931.0000,10,0.41,22.31,,,,0,0010186C8356,0,배당,신한미국자사주&고배당증(H)[주식](Cr),, SH US Buyback&High Dividend Security Feeder Investment Trust(H)[Equity],신한미국자사주&고배당증권자투자신탁(H)[주식](종류C-r),KR5117451000,12123A1206010111914B,KRZ50252238A,0271670,0,주식형,00040067,해외,해당없음,00,W104,해당없음,공모,030480271670,판매중,K55210DV3430,Y,00020027,3,다소 높은 위험
채권종합지수 1~2Y,채권종합지수 1~2년,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,맵스스프레드RCF파9,,MIRAEASSET MAPS SPREAD RCF DERIVATIVES FUND NO.9,미래에셋맵스스프레드RCF파생상품투자신탁9호,KR513506106M,00000000000000000000,KRZ500502730,467609,0,06,00080008,국내,해당없음,00,V101,해당없음,공모,000000000000,판매완료,KR5225853583,,00020081,NULL,
KOSPI 200,KOSPI200,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,하이밸류&다이MoM주A,,하이밸류&다이나믹MoM증권투자신탁[주식]A,하이밸류&다이나믹MoM증권투자신탁[주식]A,KR5116450000,00000000000000000000,KRZ501845981,00AG470,0,주식형,00040018,국내,해당없음,00,V101,해당없음,공모,0304200AG470,판매완료,KR5104AL3311,Y,00020032,NULL,
KOSPI200 50% + KAP Bond Index 01Y 50%,KOSPI200 50% + 종합채권01Y 50%,KRW,,000,국내,162.80,4.00,43.96,81.71,1146268314.0000,10,9.11,133.59,130.59,164.45,135.45,0,000000000000,0,배당,미래에셋인디펜던스증권자투자회사(주혼)C5,,미래에셋인디펜던스증권자투자회사(주식혼합)(C-C5),미래에셋인디펜던스증권자투자회사(주식혼합)(C-C5),KR550903052M,231134123010121ZZZZ4,KRZ700066905,500106,0,주식혼합,00080008,국내,해당없음,00,D102,해당없음,공모,031910500101,판매중,KRM301972811,Y,00020004,3,다소 높은 위험
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,27.54,-0.62,12.86,17.27,486111589050.0000,10,1.02,26.76,33.55,54.25,37.98,0,0010660C6012,0,배당,한국투자적격TDF알아서2045(주혼재)CR,,한국투자적격TDF알아서2045증권투자신탁(주식혼합-재간접형)종류C-R,한국투자적격TDF알아서2045증권투자신탁(주식혼합-재간접형)종류C-R,KR5113490079,16121A120600211ZZZZD,KRZ502119047,0005C86,0,재간접,00040024,해외,해당없음,00,V102,해당없음,공모,032280005C86,판매중,K55101BK7081,Y,00020020,3,다소 높은 위험
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,18.13,0.47,5.34,7.56,45465971866.0000,10,-0.57,15.52,,,,0,0010185C1375,0,배당,신영적격TDF2030증권투자신탁(혼재)C-P2,,신영적격TDF2030증권투자신탁(혼합-재간접형)C-P2형,신영적격TDF2030증권투자신탁(혼합-재간접형)C-P2형,KR5125490015,16121A120600211ZZZZD,KRZ50245178B,000Y420,0,재간접,00040014,해외,해당없음,00,D102,해당없음,공모,03029000Y420,판매중,K55209DE4564,Y,00020004,4,보통 위험
채권종합지수 1~2Y,채권종합지수 1~2년,KRW,,000,국내,,,,,,00,,,,,,0,000000000000,0,배당,G2프로장기26,,G2프로장기26,G2프로장기26,KR5010251246,00000000000000000000,KRZ500023450,11632,0,채권형,00040011,국내,해당없음,00,V101,해당없음,공모,KR0000000000,판매완료,KR5205106424,,00020081,NULL,
JACI Composite,JACI Composite,KRW,Y,000,이머징/브릭스,6.32,0.06,-0.33,0.41,5516358752.0000,10,-0.16,5.54,9.78,15.01,-8.61,0,0011973C0389,0,배당,iM에셋아시아퀄리티(채권재간접)(H)CPe,,IM ASSET ASIAN TIGER BOND FUND-HEDGEDCLASS 13,iM에셋아시아퀄리티증권투자신탁(채권-재간접형)(H)(C-Pe),KR5181490038,1612141203604312526E,KRZ50164509D,060623,0,재간접,00080035,해외,개인,00,W109,해당없음,공모,033750060610,판매중,K55366BJ1236,Y,00020054,5,낮은 위험
MSCI CHINA,MSCI CHINA(USD),KRW,Y,000,글로벌,20.75,-2.26,6.74,1.02,24067505476.0000,10,-2.34,9.76,34.93,36.45,-11.01,0,0011956C0414,0,배당,에셋플러스차이나리치퇴직자1(주식)Ce,,에셋플러스차이나리치투게더퇴직연금증권자투자신탁1호(주식)종류Ce,에셋플러스차이나리치투게더퇴직연금증권자투자신탁1호(주식)종류Ce,KR5187450091,1212361203617111123B,KRZ501935775,20242,0,주식형,00080086,해외,해당없음,00,G115,해당없음,공모,032910020240,판매중,K55364BU0813,Y,00020027,2,높은 위험
MSCI South East Asia(USD) 95% + Call 5%,MSCI South East Asia(USD) 95% + Call 5%,KRW,Y,000,아시아,2.28,-3.40,-0.69,0.53,1430173289.0000,10,-0.14,5.98,18.03,23.50,2.10,0,0010173C4726,0,배당,삼성아세안증권자제3호[주식-파생형]C4,,삼성아세안증권자투자신탁 제3호[주식-파생형]_C4,삼성아세안증권자투자신탁 제3호[주식-파생형]_C4,KR5114470154,1222341200105520123C,KRZ501806895,02MDK00,0,06,00040010,해외,해당없음,00,C101,해당없음,공모,0302002MDK00,판매중,KR5105975837,Y,00020054,4,보통 위험
KOSPI 200,KOSPI200,KRW,,000,국내,282.08,4.39,58.64,119.72,197152331882.0000,10,11.01,209.82,242.64,278.89,,0,000000000000,0,배당,KB그로스포커스자주C4,,KB그로스포커스증권자투자신탁(주식)C4클래스,KB그로스포커스증권자투자신탁(주식)C4클래스,KR5127450114,00000000000000000000,KRZ501009368,0002221,0,주식형,00040035,국내,해당없음,00,V101,해당없음,공모,030230002221,판매중,KR5223184619,Y,00020088,2,높은 위험
KOSPI 200,KOSPI200,KRW,,000,국내,0.00,0.00,0.00,0.00,4691125245.0000,10,0.00,0.00,0.00,0.00,0.00,0,0010193C0440,0,배당,우리뉴셀렉션포커스증권자(주식)C3,,WOORI NEW-SELECTION FOCUS EQUITY FEEDER FUND CLASS C3,우리뉴셀렉션포커스증권자투자신탁(주식)ClassC3,KR5134450063,12113412001011111113,KRZ501681599,0008110,0,주식형,00040007,국내,해당없음,00,V101,해당없음,공모,03101000FR04,판매중,KR5217A02324,Y,00020004,1,매우 높은 위험
채권종합지수 1~2Y,종합채권 1~2년,USD,Y,000,글로벌,,,,,175566583.6800,10,,,,,,1,0010186C9627,0,배당,신한달러단기자금증권자1(USD)[채권](C-s),,SH DOLLAR SHORT-TERM SECURITY INVESTMENT TRUST NO.1[BOND](CLASS_C-S,신한달러단기자금증권자투자신탁제1호(USD)[채권](종류C-s),KR5117420005,11121Y1200102ZZ21ZZE,KRZ502563897,0274460,0,채권형,00040067,해외,법인,00,M111,해당없음,공모,030480274460,판매중,K55210E55505,Y,00020027,5,낮은 위험
