cu_base_index,cu_charge_etc_rt,cu_charge_rt,cu_fund_mgmt_co,cu_lev_fector,cu_strtegy,cu_upt_dt,du_bpr,du_chas_errt,du_clpr,du_diff_rt,du_er_1d,du_er_1m,du_er_1y,du_er_3m,du_er_6m,du_er_ytd,du_hpr,du_last_aum,du_last_nav,du_lpr,du_nav_rnf_amt,du_nav_yday,du_upt_dt,du_val_1d,du_val_1m,du_val_5d,du_vol_1d,du_vol_avg_1m,du_vol_avg_5d,nru_mkt_diff_rt,nru_mkt_inav,pd_abrv_nm,pd_circ_net_tamt,pd_circ_stk_cnt,pd_curr_cd,pd_curr_nm,pd_divd_amt_pshr,pd_dvid_cycl,pd_dvid_yield,pd_exg_mkt_cd,pd_exg_mkt_nm,pd_grp_no,pd_itm_no,pd_itm_no_ma,pd_lst_price,pd_lst_stk_cnt,pd_lste_dt,pd_lstg_dt,pd_mkt_id,pd_mkt_nm,pd_nav_pshr,pd_net_ast_pshr,pd_net_prft_pshr,pd_net_rt_ast_pshr,pd_net_tamt,pd_nm,pd_pen_risk_nm,pd_pen_tr_yn,pd_risk_cd,pd_risk_nm,pd_sale_yn,pd_sect_cd,pd_sect_nm,pd_spac_yn,pd_stk_cnt,pd_tr_yn,ru_mkt_price,ru_mkt_volume,wu_core_yn,wu_inv_ast_type,wu_inv_rgn,wu_upt_dt
                                        ,0,,미래에셋,1,실물복제,20260615,13675.00,0.00,13615.00,0.00,-0.44,1.38,11.14,0.63,1.72,3.54,13650.00,239236725000.00,13670.67,13560.00,-13670.67,13670.67,2026-06-15 00:00:00,1127563999.00,1481358349.10,1168756083.20,82836.00,109219.75,85775.60,,,TIGER 미국채10년선물,239312500000.00,17500000.00,CURR_CD_KRW,한국원화,0.00,  ,0.00,EXG_MKT_NO_001,유가증권                        ,ETF,KR7305080004,A305080,0.00,17500000.00,99991231,20180830,STK,유가증권                                                                        ,13670.67,0.00,0.00,0.00,239236722747.00,미래에셋 TIGER 미국채10년선물증권상장지수투자신탁(채권-파생형),N,N,PD_RISK_GCD_14,보통위험(4등급),1,2,,N,17500000.00,0,,,N,채권,미국,20260615
                                        ,0,,키움증권(주),1,C,20260615,7990.00,0.00,8160.00,0.00,2.13,-13.79,-13.56,-29.32,-27.79,-26.65,8230.00,0.00,8145.34,8095.00,176.00,7969.34,2026-06-15 00:00:00,3605210.00,16201691.25,16536908.00,443.00,1998.05,2086.80,,,키움 바이오TOP10 ETN,0.00,0.00,CURR_CD_KRW,한국원화,0.00,  ,0.00,EXG_MKT_NO_001,유가증권                        ,ETN,KRG760000148,Q760014,0.00,700000.00,99991231,20241108,STK,유가증권                                                                        ,8145.34,0.00,0.00,0.00,5578538000.00,키움증권 키움 바이오TOP10 상장지수증권 제14호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3,,N,700000.00,0,,,N,주식,국내,20260615
                                        ,0,,미래에셋,1,실물복제,20260615,7860.00,0.00,7865.00,0.00,0.06,-2.66,-0.19,-4.09,-12.61,-11.78,7935.00,708124075500.00,7777.31,7795.00,-7777.31,7777.31,2026-06-15 00:00:00,6268212166.00,9504943879.95,5828427296.40,797435.00,1174539.10,741412.40,,,TIGER 차이나항셍테크,715653000000.00,91050000.00,CURR_CD_KRW,한국원화,0.00,  ,0.00,EXG_MKT_NO_001,유가증권                        ,ETF,KR7371160003,A371160,0.00,90400000.00,99991231,20201216,STK,유가증권                                                                        ,7777.31,0.00,0.00,0.00,701512924330.00,미래에셋 TIGER 차이나항셍테크증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_11,매우높은위험(1등급),1,2,,N,90750000.00,0,,,N,주식,중국,20260615
                                        ,0,,NH-Amundi,1,실물복제,20260615,20950.00,0.00,21105.00,0.00,0.74,1.44,38.30,13.38,12.74,13.99,21190.00,16744960000.00,20931.20,20960.00,-20931.20,20931.20,2026-06-15 00:00:00,198043874.00,160335035.55,182147473.80,9408.00,7601.30,8717.20,,,HANARO 미국S&P500,16760000000.00,800000.00,CURR_CD_KRW,한국원화,0.00,  ,0.00,EXG_MKT_NO_001,유가증권                        ,ETF,KR7432840007,A432840,0.00,800000.00,99991231,20220608,STK,유가증권                                                                        ,20931.20,0.00,0.00,0.00,16744962286.00,NH-Amundi HANARO 미국S&P500증권상장지수투자신탁(주식),위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2,,N,800000.00,0,,,Y,주식,미국,20260615
                                        ,0,,삼성,1,실물복제,20260615,96455.00,0.00,101575.00,0.00,5.31,16.29,327.95,71.83,153.24,135.89,102590.00,1870904184000.00,96438.36,100195.00,-96438.36,96438.36,2026-06-15 00:00:00,101589995922.00,24450986246.75,32525435043.20,1004021.00,253578.40,328053.00,,,KODEX Top5PlusTR,0.00,19400000.00,CURR_CD_KRW,한국원화,0.00,  ,0.00,EXG_MKT_NO_001,유가증권                        ,ETF,KR7315930008,A315930,0.00,19400000.00,99991231,20190122,STK,유가증권                                                                        ,96438.36,0.00,0.00,0.00,1870904233621.00,삼성 KODEX Top5Plus Total Return증권상장지수투자신탁[주식형],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2,,N,19400000.00,0,,,N,주식,미국,20260615
                                        ,0,,KB증권(주),2,C,20260615,7455.00,0.00,7155.00,0.00,-4.02,-21.50,-1.38,-11.23,13.39,22.10,7460.00,0.00,7114.34,7050.00,-245.21,7359.55,2026-06-15 00:00:00,13669545.00,101121801.65,44366748.80,1914.00,11745.95,6006.60,,,KB 레버리지 밀 선물 ETN,0.00,0.00,CURR_CD_KRW,한국원화,0.00,  ,0.00,EXG_MKT_NO_001,유가증권                        ,ETN,KRG580000518,Q580051,0.00,1500000.00,99991231,20230707,STK,유가증권                                                                        ,7114.34,0.00,0.00,0.00,11039325000.00,KB증권 KB 레버리지 밀 선물 상장지수증권 제51호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3,,N,1500000.00,0,,,N,원자재,국내,20260615
                                        ,0,,한국투자,2,합성복제,20260615,44730.00,0.00,45575.00,0.00,1.89,-9.21,95.39,24.34,11.09,14.08,46050.00,143865856000.00,44958.08,44735.00,-44958.08,44958.08,2026-06-15 00:00:00,2585449097.00,1641952931.70,1659604635.40,57165.00,33427.00,36682.60,,,ACE 미국빅테크TOP7 Plus레버리지(합성),0.00,3200000.00,CURR_CD_KRW,한국원화,0.00,  ,0.00,EXG_MKT_NO_001,유가증권                        ,ETF,KR7465610004,A465610,0.00,3200000.00,99991231,20230912,STK,유가증권                                                                        ,44958.08,0.00,0.00,0.00,143865855417.00,한국투자 ACE 미국빅테크TOP7 Plus레버리지증권상장지수투자신탁(주식-파생형)(합성),N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,2,,N,3200000.00,0,,,N,주식,미국,20260615
                                        ,0,,KB,1,실물복제,20260615,16550.00,0.00,16810.00,0.00,1.57,0.78,38.98,10.41,23.97,20.76,17025.00,36630110000.00,16650.05,16735.00,-16650.05,16650.05,2026-06-15 00:00:00,416809199.00,432611989.10,393826843.60,24737.00,25727.65,23706.60,,,RISE V&S셀렉트밸류채권혼합,36410000000.00,2200000.00,CURR_CD_KRW,한국원화,0.00,  ,0.00,EXG_MKT_NO_001,유가증권                        ,ETF,KR7241390004,A241390,0.00,2200000.00,99991231,20160412,STK,유가증권                                                                        ,16650.05,0.00,0.00,0.00,36630119997.00,KB RISE V&S셀렉트밸류채권혼합증권상장지수투자신탁(채권혼합),안전자산,Y,PD_RISK_GCD_14,보통위험(4등급),1,2,,N,2200000.00,0,,,N,혼합자산,국내,20260615
                                        ,0,,한국투자증권(주),-2,C,20260615,15015.00,0.00,14990.00,0.00,-0.17,2.36,30.63,2.04,8.51,7.19,14990.00,0.00,14999.06,14985.00,18.99,14980.07,2026-06-15 00:00:00,29975.00,9128878.00,24027.00,2.00,608.40,1.60,,,한투 인버스2X엔달러 선물 ETN(H),0.00,0.00,CURR_CD_KRW,한국원화,0.00,  ,0.00,EXG_MKT_NO_001,유가증권                        ,ETN,KRG570000999,Q570099,0.00,1000000.00,99991231,20230810,STK,유가증권                                                                        ,14999.06,0.00,0.00,0.00,14980070000.00,한국투자증권 한투 인버스2X엔달러선물 상장지수증권(H) 제99호,N,N,PD_RISK_GCD_11,매우높은위험(1등급),1,3,,N,1000000.00,0,,,N,통화,국내,20260615
                                        ,0,0.49,삼성,1,실물복제,20260615,25955.00,0.00,26165.00,0.00,0.81,10.03,91.06,36.67,76.08,76.37,26755.00,18140234000.00,25914.62,26165.00,-25914.62,25914.62,2026-06-15 00:00:00,33512824.00,50426827.10,38272039.80,1268.00,2063.00,1567.80,,,KODEX 모멘텀Plus,0.00,700000.00,CURR_CD_KRW,한국원화,0.00,  ,0.00,EXG_MKT_NO_001,유가증권                        ,ETF,KR7244620001,A244620,0.00,700000.00,99991231,20160513,STK,유가증권                                                                        ,25914.62,0.00,0.00,0.00,18140232543.00,삼성 KODEX 모멘텀PLUS증권상장지수투자신탁[주식],위험자산,Y,PD_RISK_GCD_12,높은위험(2등급),1,2,,N,700000.00,0,,,N,주식,국내,20260615
