PD_NO,PD_EXG_MKT,PD_NM,PD_ABRV_NM,PD_ENG_NM,PD_ABRV_ENG_NM,PD_CTRY_CD,PD_PBCM,STD_PD_MCLS_NM,STD_PD_SCLS_NM,BD_KND,CURR_CD,ISU_BAL_AMT,ISU_DT,MAT_DT,SRFC_IRT,PD_EVCO_CRD_GRD,PD_RISK_GCD,PD_STD_INFO_UPDATE,BUY_YIELD,CORP_PRETAX_YIELD,CORP_AFTER_TAX_YIELD,AFTER_TAX_YIELD,PREF_TAX_YIELD,AVG_ANNUAL_TAX_YIELD,DEPO_EQUIV_YIELD_154,BUYABLE_QUANTITY,REMAINING_DAYS,DUR,COV,NDY_DUR,NDY_COV,EVAL_PRICE,APPLIED_YIELD,DIRTY,NDY_EVAL_PRICE,NDY_APPLIED_YIELD,NDY_DIRTY,CRD_GRD,CRD_GRD_DT
KR350102GC41,장내,한국전력공사채권1166,한국전력1166                            ,KOREA ELECTRIC POWER CORPCORPORATION1166                                        ,KEPCO1166                               ,KR,한국전력공사(주)                    ,특수채,공사채,일반특수법인채                ,KRW,160000000000,20220401,20250401,3.45,"AAA, AAA",6,20250402,,,,,,,,,0,0,0,0,0,10172.5,2.756,10172.5,0,0,0,AAA,20250331
KR354433G374,장내,한국주택금융공사 MBS2013-27(1-7)(콜),주택금융공사MBS2013-27(1-7)             ,Korea Housing Finance CorporationMBS2013-27(1-7)                                ,KHFCMBS2013-27(1-7)                     ,KR,한국주택금융공사                    ,특수채,공사채,MBS                           ,KRW,5400000000,20130729,20280729,3.75,AAA,6,20260224,,,,,,,,,886,0.2572,0.1904,0.27,0.2208,10052.25,2.98,10052.25,10053.08,2.98,10053.08,AAA,20130729
KR350702GF34,장내,한국도로공사고속도로건설채권931,도로공사931                             ,KOREA EXPRESSWAY931                                                             ,KOREA EXPRESSWAY931                     ,KR,한국도로공사                        ,특수채,공사채,일반특수법인채                ,KRW,90000000000,20250306,20300306,2.863,"AAA, AAA",6,20260224,,,,,,,,,1471,3.7279,16.2262,3.7313,16.2087,9889.09,3.523,9889.09,9890.049999999999,3.523,9890.049999999999,AAA,20250306
KR60681729A4,장내,한국동서발전 33-2                                                                                   ,한국동서발전33-2                        ,KOREA EAST-WEST POWER33-2                                                       ,KOREA EASTWEST POWER33-2                ,KR,한국동서발전(주)                    ,회사채,일반사채,일반회사채                    ,KRW,80000000000,20191007,20491007,1.423,"AAA, AAA",5,20260224,,,,,,,,,8626,18.2799,396.8479,18.2955,396.7865,5546.46,4.511,5546.46,5547.15,4.511,5547.15,AAA,20191007
KR6016611F39,장외,DB금융투자 9(사모/후),DB금융투자9                             ,DB Financial Investment9                                                        ,DBFI9                                   ,KR,디비증권(주)                        ,회사채,일반사채,투자매매.중개채               ,KRW,30000000000,20250306,20310306,5.8,"A, A",1,20250306,,,,,,,,,2191,,,,,10000,5.8,,,,,,20250306
KR354417GD18,장내,한국주택금융공사 MBS2023-2(1-6)(사)(콜),주택금융공사MBS2023-2(1-6)(사)          ,Korea Housing Finance CorporationMBS2023-2(1-6)(S)                              ,KHFCMBS2023-2(1-6)(S)                   ,KR,한국주택금융공사                    ,특수채,공사채,MBS                           ,KRW,50000000000,20230120,20330120,4.428,AAA,6,20260224,,,,,,,,,2522,4.6416,26.2817,4.772,28.1471,10177.18,4.115,10177.18,10178.34,4.115,10178.34,AAA,20230120
KR6135571F92,장외,광덕철강14(PCBO사모/콜),광덕철강14                              ,KWANG DUK14                                                                     ,KWANG DUK14                             ,KR,광덕철강(주)                        ,회사채,일반사채,일반회사채                    ,KRW,730000000,20250929,20270929,6.494,,1,20250929,,,,,,,,,730,,,,,10000,6.494,,,,,,20250929
KR60085K3F76,장내,티월드제일백일십삼차유동화전문1-3,티월드제일백일십삼차1-3                 ,T-WORLD 113TH SECURITIZATION SPECIALTY1-3                                       ,T-WORLD 113TH SEC1-3                    ,KR,티월드제일백일십삼차유동화전문(유)  ,회사채,일반사채,유동화회사채                  ,KRW,5000000000,20250725,20251025,2.559,"AAA, AAA, AAA",5,20251027,,,,,,,,,0,0,0,0,0,10014.68,2.572,10021.78,0,0,0,AAA,20250716
KR6158851E54,장외,세미조경개발6(PCBO사모/콜),세미조경개발6                           ,Landscape Architec6                                                             ,Landscape Architec6                     ,KR,세미조경개발(주)                    ,회사채,일반사채,일반회사채                    ,KRW,1400000000,20240530,20260530,6.289,,1
KR3544077067,장내,한국주택금융공사MBS2010-5(1-7)(콜),주택금융공사MBS2010-5(1-7),Korea Housing Finance CorporationMBS2010-5(1-7),KHFCMBS2010-5(1-7),KR,한국주택금융공사                    ,특수채,공사채,MBS                           ,KRW,0,20100617,20250617,5.21,AAA,6
KR6108091E34,장외,에스제이테크10(PCBO사모/콜),에스제이테크10                          ,SJ TECH10                                                                       ,SJ TECH10                               ,KR,(주)에스제이테크                    ,회사채,일반사채,일반회사채                    ,KRW,6480000000,20240328,20260328,6.43,,1
KR6030625E43,장내,롯데카드 527-5,롯데카드527-5                           ,LOTTE CARD527-5                                                                 ,LOTTE CARD527-5                         ,KR,롯데카드(주)                        ,회사채,일반사채,신용카드채                    ,KRW,10000000000,20240408,20260609,4.023,"AA-, AA-, AA-",5,20260224,,,,,,,,,105,0.2854,0.138,0.2836,0.1316,10077.57,3.144,10077.57,10078.44,3.144,10078.44,AA-,20240408
KR6273601E62,장외,우성염직4(PCBO사모/콜),우성염직4                               ,WOOSUNG DYETECH4                                                                ,WOOSUNG DYETECH4                        ,KR,(주)우성염직                        ,회사채,일반사채,일반회사채                    ,KRW,650000000,20240627,20260627,6.101,,1
KR6446831FC5,장외,스마트케이제일차 3(사모),스마트케이제일차3                       ,SmartK 1st3                                                                     ,SmartK 1st3                             ,KR,스마트케이제일차(주)                ,회사채,일반사채,Conduit회사채                 ,KRW,50000000000,20251224,20280922,3.34,,5,20260224,,,,,,,,,941,1.2629,3.4148,1.2615,3.4142,10025.66,3.466,10025.66,10026.57,3.466,10026.57,AA0,20251224
KR601980BE13,장내,하나캐피탈417-5,하나캐피탈417-5                         ,HANA CAPITAL417-5                                                               ,HANA CAPITAL417-5                       ,KR,하나캐피탈(주)                      ,회사채,일반사채,할부금융채                    ,KRW,40000000000,20240112,20260112,4.153,"AA-, AA-, AA-",5,20260113,,,,,,,,,0,0,0,0,0,10103.82,2.803,10103.82,0,0,0,AA-,20260107
